id,topic,type,arabic,transliteration,english,source,notes,audioUrl
greet_0001,greetings,word,مرحبا,marHaba,Hello,Seed,Common informal hello,
greet_0002,greetings,word,أهلين,ahleen,Hi / Welcome,Seed,Very common Levantine,
greet_0003,greetings,word,أهلا وسهلا,ahlan wa sahlan,Welcome,Seed,Used to warmly greet someone,
greet_0004,greetings,word,صباح الخير,ṣabāḥ il-khēr,Good morning,Seed,,
greet_0005,greetings,word,مسا الخير,masāʾ il-khēr,Good evening,Seed,,
greet_0006,greetings,phrase,كيفك؟,kīfak? (m) / kīfik? (f),How are you?,Seed,Gendered forms,
greet_0007,greetings,phrase,شو أخبارك؟,shū akhbārak? (m) / shū akhbārik? (f),How’s your news? / How are you?,Seed,Common casual check-in,
greet_0008,greetings,phrase,الحمد لله,il-ḥamdu lillāh,Thanks be to God (I’m fine),Seed,Response to “how are you”,
greet_0009,greetings,phrase,تمام,tamām,Good / Fine,Seed,Quick positive response,
greet_0010,greetings,phrase,منيح / منيحة,mnīḥ (m) / mnīḥa (f),Good / Well,Seed,Gendered form of “fine”,
greet_0011,greetings,phrase,تشرّفنا,tsharrafna,Nice to meet you,Seed,Formal introduction,
greet_0012,greetings,phrase,يعطيك العافية,yaʿṭīk il-ʿāfye,May God give you health,Seed,Polite greeting used all day,
greet_0013,greetings,phrase,كيف الحال؟,kīf il-ḥāl?,How’s it going?,Seed,MSA-influenced but common,
greet_0014,greetings,phrase,مع السلامة,maʿ is-salāme,Goodbye,Seed,Very common farewell,
greet_0015,greetings,phrase,الله معك,Allāh maʿak (m) / Allāh maʿik (f),God be with you (bye),Seed,Common farewell,
greet_0016,greetings,phrase,نشوفك بكرا,nshūfak bukra (m) / nshūfik bukra (f),See you tomorrow,Seed,Future farewell,
greet_0017,greetings,phrase,بشوفك قريب,bshūfak qarīb (m) / bshūfik qarīb (f),See you soon,Seed,Informal farewell,
greet_0018,greetings,phrase,شو في ما في؟,shū fī mā fī?,What’s up?,Seed,Very colloquial,
greet_0019,greetings,phrase,أهلا فيك,ahlan fīk (m) / ahlan fīki (f),Welcome (response),Seed,Response to “ahlan wa sahlan”,
greet_0020,greetings,phrase,يلا باي,yalla bye,Okay bye,Seed,Modern mix Arabic/English,
